"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
17,17,4,1,121187,121187,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16675616.000000,4655559179063067,4655559179677634
17,17,4,1,121187,121187,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559179063067,4655559179677634
18,18,4,1,121187,121187,16777216,30,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559180153000,4655559180603885
18,18,4,1,121187,121187,16777216,30,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",135146.000000,4655559180153000,4655559180603885
18,18,4,1,121187,121187,16777216,30,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",17138922.000000,4655559180153000,4655559180603885
18,18,4,1,121187,121187,16777216,30,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",659430.000000,4655559180153000,4655559180603885
18,18,4,1,121187,121187,16777216,30,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16749216.000000,4655559180153000,4655559180603885
18,18,4,1,121187,121187,16777216,30,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559180153000,4655559180603885
19,19,4,1,121187,121187,16777216,35,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559181083570,4655559181541655
19,19,4,1,121187,121187,16777216,35,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",69626.000000,4655559181083570,4655559181541655
19,19,4,1,121187,121187,16777216,35,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",17224666.000000,4655559181083570,4655559181541655
19,19,4,1,121187,121187,16777216,35,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",593910.000000,4655559181083570,4655559181541655
19,19,4,1,121187,121187,16777216,35,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16769440.000000,4655559181083570,4655559181541655
19,19,4,1,121187,121187,16777216,35,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559181083570,4655559181541655
20,20,4,1,121187,121187,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559182008540,4655559182297823
20,20,4,1,121187,121187,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",36866.000000,4655559182008540,4655559182297823
20,20,4,1,121187,121187,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",9695929.000000,4655559182008540,4655559182297823
